slope_mean,slope_theory,CI_low,CI_high,test_result
0.596188481341678,0.12,0.47943466640703236,0.7129422962763237,False
0.43844959487668617,0.12,0.35626673937643616,0.5206324503769362,False
0.2979660294605548,0.12,0.24443374859040395,0.3514983103307056,False
0.24934182793331014,0.12,0.2102598585549202,0.2884237973117001,False
0.2720058589572929,0.12,0.22976403546230795,0.31424768245227785,False
0.20114546088452015,0.12,0.1651294602481052,0.2371614615209351,False
0.1849543323411239,0.12,0.1541171025893567,0.2157915620928911,False
0.15956177012289183,0.12,0.12802561031800624,0.1910979299277774,False
0.15346055212770734,0.12,0.1285161815670582,0.17840492268835648,False
0.13917632499742982,0.12,0.11450234713974719,0.16385030285511246,False
0.11058345371394031,0.12,0.09116644492131107,0.13000046250656955,False
0.1039501598914877,0.12,0.0849727496993081,0.12292757008366731,False
0.10306681639469735,0.12,0.08535792371107143,0.12077570907832327,False
0.09938635015016736,0.12,0.08210419494884177,0.11666850535149295,False
0.0877453936841066,0.12,0.07079012584780794,0.10470066152040525,False
0.07864641705383008,0.12,0.06628797953483462,0.09100485457282553,False
0.08099993739277239,0.12,0.06844511612652868,0.09355475865901611,False
0.07889915842681729,0.12,0.06397617538439575,0.09382214146923883,False
0.06730521507070893,0.12,0.05632589385324009,0.07828453628817776,False
0.06064857109714545,0.12,0.04927609921279571,0.0720210429814952,False
0.07540712027743837,0.12,0.06313806779156539,0.08767617276331136,False
0.060952139574333784,0.12,0.04838888547642258,0.07351539367224498,False
0.06093552583573318,0.12,0.048376738205388556,0.0734943134660778,False
0.048210176409556944,0.12,0.03876437709471494,0.05765597572439895,True
0.05659352880266784,0.12,0.04489499147768187,0.06829206612765382,False
0.04565356613683606,0.12,0.03783619712663374,0.053470935147038386,True
0.045872645910632545,0.12,0.037247794938707224,0.054497496882557867,False
0.05433838778266486,0.12,0.0452117897025873,0.06346498586274242,False
0.05102247704492087,0.12,0.04160528134934952,0.060439672740492216,False
0.04724423446839987,0.12,0.040048996510691416,0.054439472426108325,False
0.040361087245538725,0.12,0.0333618217269085,0.04736035276416895,False
0.04416034019974876,0.12,0.03590695049979453,0.052413729899702985,False
0.046613423508026594,0.12,0.03857803384880063,0.054648813167252556,False
0.03507406148526996,0.12,0.029161600571965485,0.040986522398574435,True
0.04323148099041342,0.12,0.03522071797292896,0.05124224400789788,False
0.03494326119308058,0.12,0.029349438514658096,0.040537083871503066,False
0.04331833402502468,0.12,0.035409289211241576,0.05122737883880778,False
0.03469216972188476,0.12,0.027967295849506114,0.04141704359426341,False
0.033512339061844344,0.12,0.02637417903211027,0.04065049909157842,False
0.03383697887065207,0.12,0.027659667455092286,0.040014290286211854,False
0.03907915534000836,0.12,0.031597245625417505,0.04656106505459921,False
0.031670183907589126,0.12,0.02581102323582352,0.03752934457935473,False
0.03202067329436525,0.12,0.026678807185354703,0.03736253940337579,False
0.028130484011654622,0.12,0.023296903794679077,0.032964064228630165,False
0.027218601376486365,0.12,0.021856943979411188,0.03258025877356154,False
0.03228448955939227,0.12,0.027407311491114007,0.03716166762767053,False
0.031222074166096556,0.12,0.026020134405575997,0.036424013926617115,False
0.027362640550236596,0.12,0.022365742444819023,0.03235953865565417,False
0.03110303178844925,0.12,0.026213212249365812,0.03599285132753269,False
0.02857203548554088,0.12,0.023721184174204192,0.03342288679687757,False
